Starting Coordinate; End Coordinate; True Distance(m) 
[21.0421248, 52.173537205];[21.03935449, 52.159564653];1568.8111784251091
[21.03935449, 52.159564653];[21.039354366, 52.159564026];0.07039593768476327
[21.039354366, 52.159564026];[21.039354241, 52.159563399];0.07040424898904149
[21.039354241, 52.159563399];[21.035798472, 52.141629238];2013.625439031929
[21.035798472, 52.141629238];[21.035798347, 52.141628611];0.07040474206249596
[21.035798347, 52.141628611];[21.035798223, 52.141627984];0.07039642637834617
[21.035798347, 52.141628611];[21.035798949, 52.141628612];0.04128145987107627
[21.035798223, 52.141627984];[21.03004199, 52.112595398];3259.7726164449577
[21.03004199, 52.112595398];[21.030041866, 52.112594771];0.07039721803592658
[21.073463011, 52.113128638];[21.073462409, 52.113128631];0.041314067599336445
[21.073462409, 52.113128631];[21.030042467, 52.112594779];2979.9492622137145
[21.030042467, 52.112594779];[21.030041866, 52.112594771];0.04124943971923224
[21.077974622, 52.141660616];[21.077974522, 52.141659984];0.07076923195201308
[21.077974522, 52.141659984];[21.073463111, 52.113129271];3194.7645119090084
[21.073463111, 52.113129271];[21.073463011, 52.113128638];0.07088064111204469
[21.081008632, 52.16084806];[21.081008532, 52.160847427];0.07087983347160465
[21.081008632, 52.16084806];[21.08100803, 52.160848042];0.04131093243143282
[21.081008532, 52.160847427];[21.077974722, 52.141661249];2148.385524692687
[21.077974722, 52.141661249];[21.077974622, 52.141660616];0.07088015819048783
[21.08100803, 52.160848042];[21.039354968, 52.159564045];2858.643734293123
[21.039354968, 52.159564045];[21.039354366, 52.159564026];0.04131885620150555
[21.035798949, 52.141628612];[21.07797402, 52.141660616];2892.056124987959
[21.07797402, 52.141660616];[21.077974622, 52.141660616];0.04128009344852698
