Unique Id; Longitude; Latitude
1;21.042125;52.173537
2;21.039354;52.159565
3;21.039354;52.159564
4;21.039354;52.159563
5;21.035798;52.141629
6;21.035798;52.141629
7;21.035798;52.141628
8;21.030042;52.112595
9;21.030042;52.112595
10;21.073463;52.113129
11;21.073462;52.113129
12;21.030042;52.112595
13;21.077975;52.141661
14;21.077975;52.14166
15;21.073463;52.113129
16;21.081009;52.160848
17;21.081009;52.160847
18;21.077975;52.141661
19;21.081008;52.160848
20;21.039355;52.159564
21;21.035799;52.141629
22;21.077974;52.141661
