Starting Coordinate; End Coordinate; True Distance(m) 
[17.001698306, 52.189797268];[17.061696708, 52.131527636];7715.018098837858
[17.061696708, 52.131527636];[17.097125402, 52.09711977];4556.80811452301
[17.061696708, 52.131527636];[17.021301555, 52.122541582];2957.127129298936
[17.097125402, 52.09711977];[17.130644434, 52.064566541];4311.965918083051
[17.097125402, 52.09711977];[17.143231525, 52.106808949];3355.5660032356727
[17.130644434, 52.064566541];[17.164055519, 52.03211815];4298.830967839233
[17.130644434, 52.064566541];[17.095352679, 52.055870105];2620.3997555561755
[17.164055519, 52.03211815];[17.201431733, 51.995818878];4809.893181076022
[17.164055519, 52.03211815];[17.214617907, 52.043218096];3701.845378991234
[17.201431733, 51.995818878];[17.230063492, 51.968012104];3685.2167366388294
[17.201431733, 51.995818878];[17.163515136, 51.986843392];2803.8620796556884
[17.230063492, 51.968012104];[17.299063193, 51.901000532];8883.271863454826
[17.230063492, 51.968012104];[17.397332355, 52.000930119];12121.841647754023
[17.299063193, 51.901000532];[17.350054575, 51.906191546];3574.6103508381043
[17.350054575, 51.906191546];[17.307960557, 51.941416163];4897.537668907206
[17.307960557, 51.941416163];[17.354317713, 51.950742939];3369.023617318027
[17.354317713, 51.950742939];[17.391445993, 51.957299953];2667.908855185706
[17.391445993, 51.957299953];[17.437996139, 51.967625343];3416.3670343082895
[17.437996139, 51.967625343];[17.397332355, 52.000930119];4663.5834039217525
[17.397332355, 52.000930119];[17.35824934, 52.032940201];4481.287267518829
[17.397332355, 52.000930119];[17.446294743, 52.010565771];3546.2982261326906
[17.35824934, 52.032940201];[17.201431733, 51.995818878];11589.853809096001
[17.163515136, 51.986843392];[17.122695348, 52.023038363];4932.377572181457
[17.122695348, 52.023038363];[17.164055519, 52.03211815];3028.8885916359336
[17.214617907, 52.043218096];[17.176366364, 52.075833135];4501.050477754874
[17.176366364, 52.075833135];[17.130644434, 52.064566541];3394.0210159300586
[17.095352679, 52.055870105];[17.05827887, 52.08895619];4497.391260443683
[17.05827887, 52.08895619];[17.097125402, 52.09711977];2827.8662428132593
[17.143231525, 52.106808949];[17.112142877, 52.142749576];4554.132411079933
[17.112142877, 52.142749576];[17.061696708, 52.131527636];3691.974111133428
[17.021301555, 52.122541582];[16.989000492, 52.112847422];2474.6261471832927
[16.989000492, 52.112847422];[17.14015591, 51.950318559];20958.731145671696
[17.14015591, 51.950318559];[17.230063492, 51.968012104];6519.841690101969
[17.446294743, 52.010565771];[17.305085693, 52.140215753];17459.34496089636
[17.305085693, 52.140215753];[17.301812402, 52.142796456];366.0670938435068
[17.301812402, 52.142796456];[17.270194147, 52.167724677];3535.6630249064683
[17.301812402, 52.142796456];[17.342097689, 52.151794101];2948.3345623178466
[17.270194147, 52.167724677];[17.236557042, 52.201724596];4450.123376592355
[17.236557042, 52.201724596];[17.200220514, 52.193641398];2655.7215993150976
[17.200220514, 52.193641398];[17.221751223, 52.164474371];3582.12112282569
[17.221751223, 52.164474371];[17.257053631, 52.132799666];4294.943088301766
[17.257053631, 52.132799666];[17.2949141, 52.098829768];4607.075973210478
[17.257053631, 52.132799666];[17.301812402, 52.142796456];3276.5094844656055
[17.2949141, 52.098829768];[17.222839804, 52.080138576];5387.098756452636
[17.222839804, 52.080138576];[17.175146606, 52.114505881];5056.22253642347
[17.175146606, 52.114505881];[17.257053631, 52.132799666];5998.020440863551
[17.342097689, 52.151794101];[17.55305347, 51.950116039];26831.724946830556
[17.55305347, 51.950116039];[17.583329807, 51.921171239];3853.344453905859
[17.55305347, 51.950116039];[17.598232122, 51.958920771];3272.207846791097
[17.583329807, 51.921171239];[17.427287598, 51.88409972];11560.330549565939
[17.427287598, 51.88409972];[17.3848076, 51.917327108];4736.824043542097
[17.3848076, 51.917327108];[17.55305347, 51.950116039];12192.343546860136
[17.598232122, 51.958920771];[17.551021401, 51.995784612];5254.26139900837
[17.551021401, 51.995784612];[17.682543991, 52.018442119];9420.476703046883
[17.682543991, 52.018442119];[17.603937796, 52.067166795];7682.841025098345
[17.603937796, 52.067166795];[17.540976091, 52.056266697];4506.400517167683
[17.540976091, 52.056266697];[17.526397944, 52.065178828];1414.9096773396723
[17.526397944, 52.065178828];[17.515330476, 52.081010599];1927.2355005134202
[17.515330476, 52.081010599];[17.481176212, 52.06735024];2805.2034658999282
[17.481176212, 52.06735024];[17.46196384, 52.080398131];1969.8345797895747
[17.46196384, 52.080398131];[17.384822416, 52.159194288];10286.511637990987
