Unique Id; Longitude; Latitude
1;17.001698;52.189797
2;17.061697;52.131528
3;17.097125;52.09712
4;17.130644;52.064567
5;17.164056;52.032118
6;17.201432;51.995819
7;17.230063;51.968012
8;17.299063;51.901001
9;17.350055;51.906192
10;17.307961;51.941416
11;17.354318;51.950743
12;17.391446;51.9573
13;17.437996;51.967625
14;17.397332;52.00093
15;17.358249;52.03294
16;17.163515;51.986843
17;17.122695;52.023038
18;17.214618;52.043218
19;17.176366;52.075833
20;17.095353;52.05587
21;17.058279;52.088956
22;17.143232;52.106809
23;17.112143;52.14275
24;17.021302;52.122542
25;16.989;52.112847
26;17.140156;51.950319
27;17.446295;52.010566
28;17.305086;52.140216
29;17.301812;52.142796
30;17.270194;52.167725
31;17.236557;52.201725
32;17.200221;52.193641
33;17.221751;52.164474
34;17.257054;52.1328
35;17.294914;52.09883
36;17.22284;52.080139
37;17.175147;52.114506
38;17.342098;52.151794
39;17.553053;51.950116
40;17.58333;51.921171
41;17.427288;51.8841
42;17.384808;51.917327
43;17.598232;51.958921
44;17.551021;51.995785
45;17.682544;52.018442
46;17.603938;52.067167
47;17.540976;52.056267
48;17.526398;52.065179
49;17.51533;52.081011
50;17.481176;52.06735
51;17.461964;52.080398
52;17.384822;52.159194
