Starting Coordinate; End Coordinate; True Distance(m) 
[19.313620947, 52.378148653];[19.312720312, 52.375672384];283.12391627764316
[19.312720312, 52.375672384];[19.31223415, 52.374335692];152.83089589448727
[19.312720312, 52.375672384];[19.319199172, 52.375353963];443.9510546519811
[19.31223415, 52.374335692];[19.311784225, 52.373098636];141.43926469428172
[19.31223415, 52.374335692];[19.305975396, 52.374688669];429.3159974468416
[19.311784225, 52.373098636];[19.311374188, 52.37197125];128.9003081810261
[19.311784225, 52.373098636];[19.318199629, 52.372734823];440.0954492160174
[19.311374188, 52.37197125];[19.310866323, 52.37057489];159.65388570915633
[19.311374188, 52.37197125];[19.304986192, 52.372223528];437.26440580056635
[19.310866323, 52.37057489];[19.310416358, 52.369337722];141.45279007225182
[19.310866323, 52.37057489];[19.317482949, 52.370239268];453.53885608786885
[19.310416358, 52.369337722];[19.310001169, 52.368196171];130.52054849166345
[19.310416358, 52.369337722];[19.304192593, 52.369604677];426.206882633285
[19.310001169, 52.368196171];[19.316547918, 52.367558625];452.8666827458745
[19.310001169, 52.368196171];[19.308933278, 52.364559036];412.4226406858241
[19.316547918, 52.367558625];[19.317402301, 52.369038075];175.1240037124076
[19.316547918, 52.367558625];[19.315406655, 52.364127763];390.7532871815263
[19.317402301, 52.369038075];[19.310416358, 52.369337722];478.40157046521097
[19.304192593, 52.369604677];[19.304485387, 52.370898558];145.78147792437252
[19.304485387, 52.370898558];[19.310866323, 52.37057489];437.3826351875604
[19.317482949, 52.370239268];[19.317788151, 52.371717948];166.33705836717897
[19.317788151, 52.371717948];[19.311374188, 52.37197125];439.0419275907326
[19.304986192, 52.372223528];[19.305480794, 52.373456098];141.64831382127616
[19.305480794, 52.373456098];[19.311784225, 52.373098636];432.41299008605483
[19.318199629, 52.372734823];[19.318762879, 52.37396749];142.84802723560202
[19.318762879, 52.37396749];[19.31223415, 52.374335692];447.8359333437481
[19.305975396, 52.374688669];[19.306405485, 52.375982742];147.38150179474667
[19.306405485, 52.375982742];[19.312720312, 52.375672384];432.71034266615413
[19.308933278, 52.364559036];[19.315406655, 52.364127763];444.87708042944666
[19.308933278, 52.364559036];[19.308824293, 52.364213731];39.250150877447815
[19.315406655, 52.364127763];[19.323420409, 52.363593867];550.7406085978707
[19.315406655, 52.364127763];[19.315300936, 52.36380995];36.1969487768992
