Starting Coordinate; End Coordinate; True Distance(m) 
[20.955840938, 32.716698431];[20.955840572, 32.716698227];0.041246237832846123
[20.955840938, 32.716698431];[20.955841212, 32.716698101];0.04487162354052999
[20.955840572, 32.716698227];[20.955443876, 32.716477355];44.69103375671963
[20.955443876, 32.716477355];[20.955443144, 32.716476948];0.08243145044839967
[20.955443144, 32.716476948];[20.954949624, 32.716202166];55.59921238781389
[20.954949624, 32.716202166];[20.954948892, 32.716201758];0.082492891147228
[20.954948892, 32.716201758];[20.954515289, 32.715960336];48.849218301071275
[20.954515289, 32.715960336];[20.954514557, 32.715959929];0.08243188534050365
[20.954514557, 32.715959929];[20.954074105, 32.715714693];49.620978968677306
[20.954074105, 32.715714693];[20.954073374, 32.715714285];0.08241476790288452
[20.954073374, 32.715714285];[20.953583619, 32.715441598];55.17555901365317
[20.953583619, 32.715441598];[20.953583253, 32.715441394];0.04124676473097693
[20.953583253, 32.715441394];[20.953582887, 32.71544119];0.04124676539973287
[20.953583253, 32.715441394];[20.953582984, 32.715441728];0.04497063319478733
[20.953582887, 32.71544119];[20.953169952, 32.715211275];46.52117633386867
[20.953169952, 32.715211275];[20.953169586, 32.715211071];0.04124686142921021
[20.953169586, 32.715211071];[20.953169221, 32.715210867];0.04116834375951459
[20.953169586, 32.715211071];[20.953169854, 32.715210736];0.04500995708644033
[20.953169221, 32.715210867];[20.952768378, 32.714987684];45.15903591163942
[20.952768378, 32.714987684];[20.952768012, 32.71498748];0.04124695489844168
[20.952768012, 32.71498748];[20.952767647, 32.714987277];0.0411071634491446
[20.952768012, 32.71498748];[20.952768277, 32.714987143];0.0450376975938647
[20.952767647, 32.714987277];[20.952352973, 32.714756392];46.71741523457623
[20.952352973, 32.714756392];[20.952352607, 32.714756188];0.04124705196902522
[20.952352607, 32.714756188];[20.952352242, 32.714755984];0.0411685343112927
[20.952352607, 32.714756188];[20.952352874, 32.714755852];0.045049775795938996
[20.952352242, 32.714755984];[20.952045569, 32.714585233];34.55000135176265
[20.952045569, 32.714585233];[20.952044837, 32.714584825];0.08249424836524281
[20.952044837, 32.714584825];[20.952039616, 32.714581918];0.5882036329385796
[20.952039616, 32.714581918];[20.95203925, 32.714581715];0.04118596958290364
